Data,Acessos
2020-1,32937919
2020-2,33175908
2020-3,33216768
2020-4,33582173
2020-5,33901720
2020-6,34319021
2020-7,34711249
2020-8,35047193
2020-9,35643759
2020-10,35843054
2020-11,36217023
2020-12,36344670
2021-1,36705316
2021-2,37176168
2021-3,37737192
2021-4,38294045
2021-5,39040080
2021-6,39345594
2021-7,40040504
2021-8,40453434
2021-9,40652832
2021-10,40956803
2021-11,41104946
2021-12,41657433
2022-1,41716841
2022-2,41872424
2022-3,42768917
2022-4,42636758
2022-5,42076061
2022-6,42732071
2022-7,42776664
